PassengerID,Survived
866,1
213,0
34,0
53,0
694,1
700,1
381,1
395,1
229,0
257,0
761,0
984,0
536,1
860,0
183,1
902,0
261,0
642,0
63,1
554,0
293,0
500,0
545,0
397,1
767,0
198,0
286,0
894,0
386,1
411,0
787,1
509,0
222,1
922,1
104,0
171,0
672,1
20,1
193,0
828,1
321,1
201,0
796,0
259,0
795,0
153,0
879,1
126,0
398,0
413,1
841,0
547,1
707,0
282,0
553,0
408,0
64,0
824,0
255,1
659,0
710,1
999,0
367,0
974,0
623,0
996,0
660,1
914,1
508,1
887,1
82,1
934,1
232,0
880,0
493,0
662,1
80,0
60,0
833,1
616,0
256,1
521,0
164,1
531,0
919,1
942,0
622,0
342,0
655,0
791,1
370,0
485,1
276,0
674,0
967,1
263,1
898,0
353,0
90,0
931,0
253,0
265,0
350,0
626,1
661,1
430,1
970,1
81,0
883,1
160,1
686,0
717,0
200,0
467,0
88,0
979,0
762,0
654,1
79,0
241,0
764,0
223,0
2,0
273,1
139,0
708,0
24,0
194,1
873,0
161,1
197,1
533,0
595,0
477,0
326,0
849,1
923,0
701,0
306,0
320,0
719,0
846,0
474,0
953,1
112,1
813,0
900,1
612,0
48,0
227,0
905,1
941,1
246,1
835,1
228,0
412,1
779,0
950,0
445,0
538,1
916,0
365,0
466,0
113,0
111,0
675,0
483,0
551,0
478,0
71,1
755,0
729,0
645,1
278,0
542,0
641,0
961,1
187,0
637,0
369,0
458,1
871,0
449,0
625,0
925,0
30,1
192,0
337,0
603,0
524,0
720,1
882,0
101,1
332,0
123,1
696,0
165,0
239,1
737,0
699,0
537,0
599,0
678,1
457,1
903,0
621,0
459,0
525,0
424,0
136,0
441,0
843,1
959,1
469,0
765,0
418,0
356,0
776,0
100,0
592,1
652,1
302,0
425,1
372,1
535,1
685,0
16,0
663,0
377,1
518,0
480,0
8,1
534,1
140,0
527,1
878,0
596,0
605,0
611,0
279,1
487,1
12,0
497,1
827,0
624,1
636,0
420,0
628,0
61,0
121,1
523,1
202,0
792,0
268,0
426,1
915,0
682,0
368,1
600,0
513,1
629,0
650,0
858,0
482,0
42,0
575,0
789,0
463,0
552,1
299,1
275,0
180,0
285,1
433,0
218,0
451,0
664,1
918,1
743,1
947,1
834,0
837,0
757,1
78,0
488,1
515,1
724,1
341,0
808,0
714,0
805,0
460,1
57,1
188,0
272,1
410,0
821,0
677,0
225,1
243,0
735,0
990,0
33,0
937,0
989,0
885,0
446,0
741,0
604,0
665,0
427,0
709,0
557,1
35,0
958,0
274,0
417,0
793,0
506,0
930,0
943,0
502,1
734,0
954,1
